id;Nome_est;local;lat_aprox;lng_aprox
1;ALAR;ARAPIRACA;-9.749224562;-36.65341989
2;ALMA;MACEIÃ“;-9.554711396;-35.77710101
3;AMCO;COARI;-4.871989319;-65.33397892
4;AMCR;COARI - IBGE;-4.085822841;-63.14220381
5;AMHA;HUMAITÃ - UEA;-7.51674956;-63.02840132
6;AMPT;PARINTINS - UFAM;-2.654235163;-56.74836909
7;AMTE;TEFÃ‰;-3.345690363;-64.70665009
8;AMTG;TABATINGA - IFAM;-4.230513493;-69.91471923
9;AMUA;MANAUS - UEA;-3.091842081;-60.01815706
10;APLJ;LARANJAL DO JARI;-0.822001326;-52.51559309
11;APMA;MACAPA - DTCEA;0.047035065;-51.09713601
12;APS1;SANTANA - DOCAS;-0.059513552;-51.16649729
13;BABJ;BOM JESUS DA LAPA - INST FED BAIANO    ;-13.26145977;-43.54706544
14;BABR;BARREIRAS;-12.15004295;-44.99489508
15;BAIL;ILHÃ‰US;-14.79660267;-39.1723851
16;BAIR;IRECÃŠ;-11.30564747;-41.85851939
17;BAIT;ITABERABA;-12.52134707;-40.28865655
18;BAPA;PAULO AFONSO;-9.390146891;-38.21546204
19;BATF;TEIXEIRA DE FREITAS;-17.55487149;-39.74334458
20;BAVC;VITÃ“RIA DA CONQUISTA;-14.88831229;-40.80270244
21;BELE;BELÃ‰M;-1.408795466;-48.46254961
22;BEPA;BELÃ‰M - INPE;-1.460808335;-48.44140705
23;BOAV;BOA VISTA;2.845182347;-60.70111493
24;BRAZ;BRASÃLIA;-15.94747534;-47.87786898
25;BRFT;FORTALEZA2005;-3.877447378;-38.42553716
26;CEEU;EUSÃ‰BIO;-3.877548818;-38.42554059
27;CEFE;VITÃ“RIA;-20.31079446;-40.31945489
28;CEFT;FORTALEZA(PORTO);-3.710811716;-38.47291786
29;CESB;SOBRAL;-3.681269968;-40.33748675
30;CHPI;CACHOEIRA PAULISTA;-22.68714628;-44.9851583
31;CORU;CORUMBA - UFMS;-19.00028141;-57.62961473
32;CRAT;CRATO;-7.238018707;-39.4156055
33;CRUZ;CRUZEIRO DO SUL;-7.611162665;-72.67211015
34;CUIB;CUIABÃ;-15.555263;-56.06986655
35;EACH;SÃƒO PAULO - USP LESTE;-23.48155046;-46.49969691
36;EESC;SÃƒO CARLOS;-22.00494889;-47.89918047
37;ESNV;NOVA VENÃ‰CIA;-18.71351505;-40.37771068
38;GOGY;GOIÃ‚NIA;-16.66472847;-49.25467304
39;GOJA;JATAÃ;-17.88327893;-51.7261089
40;GOUR;URUAÃ‡U;-14.50922562;-49.14358436
41;GVA1;GOVERNADOR VALADARES - REDE CEMIG;-18.85560704;-41.95761921
42;IFSC;FLORIANÃ“POLIS - IFSC;-27.59443326;-48.54208339
43;ILHA;ILHA SOLTEIRA;-20.42778478;-51.34338477
44;IMBT;IMBITUBA;-28.23483944;-48.65572138
45;IMPZ;IMPERATRIZ;-5.491766233;-47.49723459
46;ITAI;FOZ DO IGUAÃ‡U - ITAIPU;-25.42067845;-54.58829302
47;JAMG;JAÃBA;-15.36270646;-43.76685157
48;MABA;MARABÃ;-5.362378666;-49.12229767
49;MABB;BACABAL;-4.240959213;-44.81572254
50;MABS;BALSAS;-7.53381513;-46.0397171
51;MGBH;BELO HORIZONTE;-19.94190085;-43.92489697
52;MGIN;INCONFIDENTES;-22.31856202;-46.32802405
53;MGJF;JUIZ DE FORA;-21.77683267;-43.37257774
54;MGLA;LAVRAS - UFLA;-21.22906449;-44.97489895
55;MGMC;MONTES CLAROS - CODEVASF;-16.71639215;-43.85831659
56;MGMT;MONTE CARMELO;-18.72410353;-47.52379501
57;MGRP;RIO PARANAÃBA;-19.20986062;-46.13255182
58;MGTO;TEÃ“FILO OTONI;-17.8839965;-41.49847635
59;MGUB;UBERLÃ‚NDIA/UFU;-18.91916334;-48.25604935
60;MGV1;VARGINHA - REDE CEMIG;-21.54262285;-45.4349931
61;MSAQ;AQUIDAUANA;-20.45294334;-55.67116465
62;MSBL;BELA VISTA;-22.10688814;-56.53094235
63;MSCG;CAMPO GRANDE;-20.44090073;-54.54070257
64;MSDR;DOURADOS - UFGD;-22.19410628;-54.93040182
65;MSJR;JARDIM;-21.49844684;-56.1589799
