FID,LAYER,X,Y,Z
"0",cam,35157.870,166963.661,554.507
"1",cam,35155.483,166965.405,554.555
"2",cam,35152.537,166967.098,554.537
"3",cam,35148.474,166969.451,554.590
"4",cam,35146.103,166970.873,554.670
"5",cam,35141.667,166973.277,554.724
"6",cam,35136.030,166976.342,554.888
"7",cam,35130.900,166979.508,555.174
"8",cam,35125.329,166983.029,555.499
"9",cam,35123.559,166984.493,555.763
"10",cam,35121.055,166987.037,556.287
"11",cam,35116.872,166989.129,556.297
"12",cam,35112.210,166991.167,556.668
"13",cam,35106.773,166993.168,557.080
"14",cam,35102.979,166994.394,557.446
"15",cam,35098.598,166995.610,557.894
"16",cam,35092.099,166997.476,558.526
"17",cam,35086.502,166999.247,559.047
"18",cam,35078.023,167002.109,559.699
"19",cam,35071.572,167004.750,559.877
"20",cam,35066.587,167006.759,560.014
"21",cam,35061.929,167008.743,560.165
"22",cam,35054.594,167012.048,560.472
"23",cam,35048.276,167015.084,560.918
"24",cam,35039.361,167019.843,561.286
"25",cam,35032.634,167023.617,561.432
"26",cam,35027.000,167026.953,561.598
"27",cam,35022.323,167029.660,561.712
"28",cam,35014.857,167033.544,561.821
"29",cam,35006.653,167037.974,561.992
"30",cam,34996.343,167042.815,561.818
"31",cam,34990.518,167045.549,561.565
"32",cam,34983.134,167049.624,561.209
"33",cam,34976.953,167053.179,560.858
"34",cam,34969.767,167057.483,560.303
"35",cam,34962.774,167061.808,559.751
"36",cam,34956.792,167065.896,559.244
"37",cam,34951.232,167070.178,558.926
"38",cam,34946.540,167075.009,558.681
"39",cam,34943.829,167078.172,558.392
"40",cam,34940.388,167082.273,558.061
"41",cam,34935.800,167088.078,557.611
"42",cam,34932.254,167092.492,557.295
"43",cam,34927.911,167097.960,556.869
"44",cam,34925.473,167101.075,556.593
"45",cam,34923.441,167103.699,556.436
"46",cam,34920.986,167106.865,556.324
"47",cam,34918.853,167109.473,556.210
"48",cam,34916.703,167112.063,556.057
"49",cam,34914.959,167114.315,555.966
"50",cam,34911.556,167118.327,555.665
"51",cam,34907.916,167122.458,555.463
"52",cam,34902.528,167128.482,555.082
"53",cam,34898.862,167132.797,554.802
"54",cam,34895.342,167137.156,554.641
"55",cam,34892.954,167140.119,554.530
"56",cam,34890.635,167142.659,554.332
"57",cam,34887.590,167146.022,554.121
"58",cam,34884.900,167148.913,553.977
"59",cam,34882.835,167151.377,553.918
"60",cam,34878.764,167156.405,553.678
"61",cam,34876.860,167159.493,553.577
"62",cam,34874.931,167162.858,553.455
"63",cam,34873.673,167165.426,553.411
"64",cam,34871.795,167169.400,553.339
"65",cam,34869.849,167174.361,553.308
"66",cam,34867.428,167180.355,553.259
"67",cam,34865.159,167187.415,553.160
"68",cam,34863.348,167192.917,553.159
"69",cam,34861.451,167198.521,553.248
"70",cam,34860.097,167202.280,553.267
"71",cam,34858.350,167207.237,553.264
"72",cam,34856.140,167212.998,553.364
"73",cam,34853.825,167219.112,553.787
"74",cam,34852.064,167224.886,554.072
"75",cam,34850.733,167229.340,554.448
"76",cam,34849.011,167235.177,554.920
"77",cam,34846.861,167243.281,555.440
"78",cam,34845.148,167250.341,555.929
"79",cam,34843.270,167259.307,556.556
"80",cam,34842.119,167265.356,556.015
"81",cam,34841.187,167272.211,555.299
"82",cam,34840.422,167279.232,554.920
"83",cam,34839.180,167288.092,554.339
"84",cam,34838.858,167295.152,554.192
"85",cam,34838.346,167301.143,554.162
"86",cam,34838.080,167303.554,554.189
"87",cam,34838.480,167304.020,554.265
"88",cam,34838.986,167303.887,554.339
"89",cam,34840.345,167302.502,554.714
"90",cam,34844.181,167298.518,555.362
"91",cam,34847.112,167295.415,555.800
"92",cam,34850.359,167291.910,556.323
"93",cam,34853.262,167288.792,556.724
"94",cam,34858.500,167283.361,557.407
"95",cam,34865.340,167276.132,558.206
"96",cam,34870.716,167270.507,558.922
"97",cam,34873.879,167267.268,559.280
"98",cam,34878.970,167262.120,559.842
"99",cam,34882.576,167258.273,560.211
"100",cam,34887.370,167252.878,560.576
"101",cam,34891.620,167248.455,561.006
"102",cam,34898.641,167241.216,561.715
"103",cam,34902.489,167237.167,562.337
"104",cam,34908.938,167229.963,563.565
"105",cam,34919.525,167218.884,565.824
"106",cam,34924.926,167213.440,567.050
"107",cam,34930.264,167208.225,568.144
"108",cam,34933.105,167205.517,568.627
"109",cam,34937.134,167201.521,569.325
"110",cam,34939.504,167199.151,569.757
"111",cam,34943.043,167195.274,570.500
"112",cam,34946.822,167191.717,570.835
"113",cam,34955.398,167184.069,571.461
"114",cam,34958.680,167181.345,571.515
"115",cam,34962.277,167178.015,571.566
"116",cam,34965.216,167175.656,571.452
"117",cam,34968.968,167172.431,571.419
"118",cam,34973.543,167168.727,571.268
"119",cam,34977.767,167165.138,571.254
"120",cam,34983.186,167160.628,571.264
"121",cam,34989.690,167155.255,571.348
"122",cam,34992.771,167152.644,571.438
"123",cam,34996.307,167149.957,571.712
"124",cam,35000.406,167146.512,572.118
"125",cam,35003.734,167143.836,572.388
"126",cam,35010.236,167138.893,572.627
"127",cam,35016.737,167134.085,572.664
"128",cam,35021.782,167130.496,572.439
"129",cam,35028.723,167125.675,572.096
"130",cam,35033.565,167122.472,571.784
"131",cam,35037.373,167119.696,571.441
"132",cam,35041.096,167117.071,571.239
"133",cam,35045.830,167114.683,571.077
"134",cam,35051.435,167110.379,570.830
"135",cam,35060.181,167104.106,570.338
"136",cam,35070.165,167097.833,569.807
"137",cam,35080.083,167091.080,569.133
"138",cam,35087.186,167086.177,568.614
"139",cam,35091.317,167083.853,568.353
"140",cam,35100.565,167080.901,567.868
"141",cam,35107.512,167079.260,567.226
"142",cam,35127.227,167074.405,563.391
"143",cam,35141.035,167072.149,561.919
"144",cam,35148.170,167070.816,561.693
"145",cam,35156.338,167068.557,561.723
